original_title,runtime,year_release,revenue_final_adjusted
Mrs. Soffel,112.0,1984,12885372
Purple Rain,111.0,1984,200959246
風の谷のナウシカ,117.0,1984,9700646
Stop Making Sense,88.0,1984,14629578
Children of the Corn,93.0,1984,41136233
El pico 2,120.0,1984,2733646
Lassiter,100.0,1984,51420291
Dune,137.0,1984,90869028
Pee-wee's Big Adventure,90.0,1985,115335979
The Mean Season,103.0,1985,12113744
St. Elmo's Fire,110.0,1985,106499172
National Lampoon’s European Vacation,95.0,1985,139067534
乱,162.0,1985,11464822
The Legend of Billie Jean,96.0,1985,8731747
The Adventures of Mark Twain,86.0,1985,2394337
Fraternity Vacation,94.0,1985,9390422
Fright Night,106.0,1985,70209676
Day of the Dead,96.0,1985,95783094
Better Off Dead...,97.0,1985,29009885
Kiss of the Spider Woman,120.0,1985,47906278
Real Genius,106.0,1985,36622948
The Return of the Living Dead,91.0,1985,40107762
Back to the Future,116.0,1985,1073643307
Commando,90.0,1985,161986116
A Room with a View,117.0,1985,59066177
My Beautiful Laundrette,97.0,1985,6906369
Gotcha!,101.0,1985,24790918
Re-Animator,86.0,1985,5700260
Once Bitten,94.0,1985,28171498
Cat's Eye,94.0,1985,36866062
Weird Science,94.0,1985,109683047
Legend,94.0,1985,43671772
Remo Williams: The Adventure Begins...,121.0,1985,40549778
Runaway Train,111.0,1985,22356934
Into the Night,115.0,1985,18874903
Cocoon,117.0,1985,240339854
Rocky IV,91.0,1985,846479483
Clue,94.0,1985,41254333
Tomboy,91.0,1985,39721812
King Solomon's Mines,100.0,1985,671121
Volunteers,107.0,1985,55992937
Subway,104.0,1985,1100544
Mad Max Beyond Thunderdome,107.0,1985,102065955
Summer Rental,87.0,1985,69554593
The Goonies,114.0,1985,173263781
A Chorus Line,113.0,1985,40011694
The Bride,114.0,1985,10025303
He-Man and She-Ra: The Secret of the Sword,100.0,1985,19
Porky's Revenge,92.0,1985,57804830
Mask,120.0,1985,119447153
Code of Silence,101.0,1985,57315930
Bad Medicine,98.0,1985,7565323
The Jewel of the Nile,106.0,1985,272624605
Desert Hearts,96.0,1985,6761159
Rambo: First Blood Part II,96.0,1985,846273031
Pale Rider,115.0,1985,116659775
Friday the 13th: A New Beginning,92.0,1985,61781273
A Nightmare on Elm Street Part 2: Freddy's Revenge,87.0,1985,84512278
The Breakfast Club,97.0,1985,145154127
Enemy Mine,108.0,1985,34660552
After Hours,97.0,1985,29888047
Out of Africa,161.0,1985,362001515
Desperately Seeking Susan,104.0,1985,77189905
The Emerald Forest,114.0,1985,68927205
D.A.R.Y.L.,100.0,1985,22088914
Fletch,98.0,1985,167938438
A View to a Kill,131.0,1985,429412404
Police Academy 2: Their First Assignment,87.0,1985,156633531
American Flyers,113.0,1985,3944009
Revolution,126.0,1985,1010156
The Slugger's Wife,105.0,1985,5292187
Sällskapsresan II - Snowroller,91.0,1985,24357519
Just One of the Guys,100.0,1985,32478638
Santa Claus: The Movie,108.0,1985,66815162
Red Sonja,89.0,1985,19575340
Prizzi's Honor,124.0,1985,75098267
The Last Dragon,108.0,1985,72553677
Private Resort,82.0,1985,934775
The Purple Rose of Cairo,82.0,1985,29950058
My Science Project,94.0,1985,11614398
American Ninja,95.0,1985,29579211
The Trip to Bountiful,108.0,1985,20335145
Mischief,93.0,1985,24487866
Ladyhawke,121.0,1985,51925705
The Journey of Natty Gann,101.0,1985,6016240
Perfect,115.0,1985,36394358
Gymkata,90.0,1985,16143947
Moving Violations,90.0,1985,29861788
Murphy's Romance,107.0,1985,86958443
Return to Oz,109.0,1985,31376854
Missing in Action 2: The Beginning,100.0,1985,30299705
The Color Purple,154.0,1985,412126510
The Aviator,96.0,1985,3674104
Death Wish 3,92.0,1985,47737085
White Nights,136.0,1985,118773429
Brewster's Millions,97.0,1985,129118800
To Live and Die in L.A.,116.0,1985,48756465
Sweet Dreams,115.0,1985,25593944
Explorers,109.0,1985,27813844
Witness,113.0,1985,193557894
Inferno in diretta,90.0,1985,1052289
Starchaser: The Legend of Orin,107.0,1985,9467877
The Black Cauldron,80.0,1985,59973435
Spies Like Us,102.0,1985,169279660
Secret Admirer,90.0,1985,24291598
Agnes of God,98.0,1985,72197454
Mishima: A Life in Four Chapters,121.0,1985,1416344
Year of the Dragon,134.0,1985,52701734
Bliss,112.0,1985,1860831
3 hommes et un couffin,106.0,1985,5782104
Big Trouble in Little China,99.0,1986,29927524
The Transformers: The Movie,84.0,1986,15915041
Nine 1/2 Weeks,117.0,1986,18326315
The Manhattan Project,118.0,1986,10610667
Band of the Hand,109.0,1986,13238609
Hoosiers,114.0,1986,77832034
Defence of the Realm,96.0,1986,2040513
That's Life!,102.0,1986,11100105
My Chauffeur,97.0,1986,10566190
F/X,109.0,1986,56056199
At Close Range,111.0,1986,6385445
Wildcats,106.0,1986,71514660
Down and Out in Beverly Hills,103.0,1986,169047596
Lucas,108.0,1986,22309609
Shanghai Surprise,97.0,1986,6300241
"'night, Mother",96.0,1986,1202542
Children of a Lesser God,119.0,1986,86662167
Hannah and Her Sisters,107.0,1986,109056011
Armed and Dangerous,88.0,1986,43382760
The Texas Chainsaw Massacre 2,101.0,1986,21835862
Ruthless People,93.0,1986,194868667
Trick or Treat,98.0,1986,18493082
Deadly Friend,91.0,1986,24455497
Belizaire the Cajun,103.0,1986,2
The Name of the Rose,130.0,1986,210036810
Peggy Sue Got Married,103.0,1986,112589636
Crocodile Dundee,97.0,1986,892938051
Tough Guys,104.0,1986,58381061
Soul Man,104.0,1986,75635017
The Color of Money,119.0,1986,142275403
52 Pick-Up,110.0,1986,14111225
Heartbreak Ridge,130.0,1986,116238552
Running Scared,107.0,1986,104748311
Firewalker,104.0,1986,32510770
Under the Cherry Moon,98.0,1986,27452869
Pirates,124.0,1986,4466887
Club Paradise,96.0,1986,33487597
Offret,149.0,1986,817981
37°2 le matin,178.0,1986,5451766
Solarbabies,94.0,1986,4296667
英雄本色,95.0,1986,12159988
北斗の拳 : 世紀末救世主伝説,110.0,1986,48972313
Manhunter,119.0,1986,23454824
Playing for Keeps,102.0,1986,7261505
Pretty in Pink,96.0,1986,110110608
Reform School Girls,94.0,1986,6830095
Critters,82.0,1986,35823878
Star Trek IV: The Voyage Home,119.0,1986,361850981
Biggles,108.0,1986,305075
The Fly,96.0,1986,164952787
The Boy Who Could Fly,114.0,1986,19527522
Howard the Duck,110.0,1986,103284714
An American Tail,80.0,1986,230012078
Crossroads,99.0,1986,15613875
Maximum Overdrive,97.0,1986,20224648
Youngblood,110.0,1986,42030172
From Beyond,86.0,1986,3430782
Blue Velvet,120.0,1986,23265189
Vamp,93.0,1986,13034596
The Great Mouse Detective,74.0,1986,105087918
SpaceCamp,107.0,1986,26384484
Wisdom,109.0,1986,15549182
About Last Night...,113.0,1986,105296758
Flight of the Navigator,90.0,1986,50508446
True Stories,90.0,1986,6924527
Poltergeist II: The Other Side,91.0,1986,111538973
The Delta Force,125.0,1986,48343563
Sid & Nancy,111.0,1986,7690076
When the Wind Blows,80.0,1986,14348
Just Between Friends,110.0,1986,17436295
Raw Deal,106.0,1986,44100816
"The Karate Kid, Part II",113.0,1986,313161562
Extremities,89.0,1986,36506386
Back to School,96.0,1986,248284187
Something Wild,113.0,1986,22752996
Touch and Go,101.0,1986,3536889
The Hitcher,97.0,1986,15902039
Friday the 13th Part VI: Jason Lives,86.0,1986,52977315
Police Academy 3: Back in Training,83.0,1986,118565134
The Money Pit,91.0,1986,149636674
Gung Ho,111.0,1986,99608624
King Kong Lives,105.0,1986,12817741
Mona Lisa,104.0,1986,15764144
Labyrinth,101.0,1986,34634082
"No Retreat, No Surrender",85.0,1986,12684201
The Clan of the Cave Bear,98.0,1986,5316216
Black Moon Rising,100.0,1986,18058717
Native Son,111.0,1986,3539939
The Mission,126.0,1986,46844800
Aliens,137.0,1986,498746159
Little Shop of Horrors,94.0,1986,105422141
The Morning After,102.0,1986,68417191
Wise Guys,100.0,1986,23059065
Willy/Milly,86.0,1986,640073
Deadtime Stories,93.0,1986,7483897
Rad,91.0,1986,5484578
Short Circuit,98.0,1986,110725750
Iron Eagle,117.0,1986,65731378
Top Gun,110.0,1986,970823332
Platoon,120.0,1986,376897901
Troll,82.0,1986,14829945
Haunted Honeymoon,82.0,1986,21856335
Out of Bounds,93.0,1986,13873627
The Wraith,93.0,1986,9522394
No Mercy,106.0,1986,33475035
Dangerously Close,95.0,1986,6503863
Crimes of the Heart,105.0,1986,62318688
The Golden Child,94.0,1986,217159395
Off Beat,92.0,1986,11201222
Invaders from Mars,100.0,1986,13289624
Ferris Bueller's Day Off,103.0,1986,190818901
Psycho III,93.0,1986,39399874
Highlander,116.0,1986,16052036
American Anthem,102.0,1986,13183684
Stand by Me,89.0,1986,142257534
De Aanslag,124.0,1986,554423
The Boy in Blue,100.0,1986,748188
Hardbodies 2,88.0,1986,212398
Power,111.0,1986,10338599
The Mosquito Coast,119.0,1986,38913343
Cobra,87.0,1986,133428397
A Fine Mess,90.0,1986,16405246
Blue City,83.0,1986,18902733
Man on Fire,92.0,1987,1387324
A Nightmare on Elm Street 3: Dream Warriors,96.0,1987,119598175
The Last Emperor,163.0,1987,117438161
Hello Again,96.0,1987,54520045
Rampage,97.0,1987,2126307
The Living Daylights,130.0,1987,510467507
The Squeeze,101.0,1987,5951312
China Girl,90.0,1987,3369790
Hello Mary Lou: Prom Night II,97.0,1987,7165012
Gaby: A True Story,110.0,1987,334818
Lethal Weapon,110.0,1987,320953760
The Care Bears Adventure in Wonderland,75.0,1987,6963375
The Hanoi Hilton,126.0,1987,2029204
Crazy Love,90.0,1987,320184
Happy New Year,85.0,1987,110089
*batteries not included,106.0,1987,173787483
Mio min Mio,99.0,1987,6141013
Adventures in Babysitting,102.0,1987,91764037
Russkies,99.0,1987,5844768
Pinocchio and the Emperor of the Night,83.0,1987,8708593
Angel Heart,113.0,1987,45885741
Teen Wolf Too,95.0,1987,21062884
"Planes, Trains and Automobiles",93.0,1987,131445147
Predator,107.0,1987,262289510
Some Kind of Wonderful,95.0,1987,49539154
No Way Out,114.0,1987,94810621
Wall Street,126.0,1987,117074610
Raising Arizona,94.0,1987,77911525
La Bamba,108.0,1987,144755490
Evil Dead II,84.0,1987,15814563
"Good Morning, Vietnam",121.0,1987,330873481
"Good Morning, Babilonia",117.0,1987,490480
Out of Rosenheim,95.0,1987,9578120
Full Metal Jacket,116.0,1987,123775276
Death Wish 4: The Crackdown,99.0,1987,18370469
Street Smart,97.0,1987,2988035
Slam Dance,99.0,1987,1086374
Prince of Darkness,101.0,1987,37867339
The Princess Bride,98.0,1987,82390551
Walker,94.0,1987,686306
Roxanne,107.0,1987,106936103
Dirty Dancing,100.0,1987,571259212
La estanquera de Vallecas,106.0,1987,833068
Nadine,83.0,1987,15138483
"Silent Night, Deadly Night Part 2",88.0,1987,412043
The Running Man,101.0,1987,101786252
From a Whisper to a Scream,99.0,1987,3738008
The Believers,114.0,1987,50071793
Who's That Girl,92.0,1987,19504952
Overboard,106.0,1987,71324371
Fatal Beauty,104.0,1987,32164297
Harry and the Hendersons,110.0,1987,133496600
Der Himmel über Berlin,128.0,1987,8544019
Someone to Watch Over Me,106.0,1987,27443788
Blind Date,95.0,1987,104989218
Throw Momma from the Train,88.0,1987,154635997
Nuts,116.0,1987,82636693
Cherry 2000,99.0,1987,37380
Creepshow 2,92.0,1987,37380085
Masters of the Universe,106.0,1987,46288213
Superman IV: The Quest for Peace,90.0,1987,51531117
Mannequin,89.0,1987,114065853
Cry Freedom,157.0,1987,15752493
Hellraiser,94.0,1987,38886040
Amazon Women on the Moon,85.0,1987,1465021
Dead of Winter,100.0,1987,6443864
Disorderlies,86.0,1987,27630389
Revenge of the Nerds II: Nerds in Paradise,98.0,1987,60454365
Project X,108.0,1987,49481316
Maid to Order,93.0,1987,26349011
Summer School,97.0,1987,93755736
The Secret of My Success,111.0,1987,296362342
The Witches of Eastwick,118.0,1987,170256969
The Lost Boys,97.0,1987,86034449
Over the Top,93.0,1987,42873836
Eddie Murphy Raw,90.0,1987,134847736
North Shore,96.0,1987,10232072
Light of Day,107.0,1987,28008363
Moonstruck,102.0,1987,215310700
Tough Guys Don't Dance,110.0,1987,2291532
The Big Town,109.0,1987,4539010
House II: The Second Story,88.0,1987,20826047
Born in East L.A.,85.0,1987,46338657
Beverly Hills Cop II,100.0,1987,800908470
Best Seller,95.0,1987,11422686
Barfly,100.0,1987,8601606
Three O'Clock High,97.0,1987,9841273
From the Hip,111.0,1987,25414031
Matewan,132.0,1987,4486566
White Water Summer,90.0,1987,803295
Promised Land,102.0,1987,843721
Outrageous Fortune,100.0,1987,175859259
Fatal Attraction,119.0,1987,854790947
Baby Boom,110.0,1987,71322473
Spaceballs,96.0,1987,101779251
Can't Buy Me Love,94.0,1987,84435826
Campus Man,94.0,1987,2640636
Dragnet,106.0,1987,178018693
The Monster Squad,82.0,1987,10065896
The Umbrella Woman,98.0,1987,3083857
Jaws: The Revenge,89.0,1987,138522620
Hollywood Shuffle,78.0,1987,13960439
The Untouchables,119.0,1987,203642576
Hunk,102.0,1987,4672393
Broadcast News,133.0,1987,136836220
Hope and Glory,113.0,1987,26756451
Leonard Part 6,85.0,1987,13128075
Police Academy 4: Citizens on Patrol,88.0,1987,74923956
Hot Pursuit,93.0,1987,11256369
Housekeeping,116.0,1987,2892369
Ishtar,107.0,1987,38381820
The Pick-up Artist,81.0,1987,35485363
Gardens of Stone,111.0,1987,14049697
Flowers in the Attic,93.0,1987,40455227
A Prayer for the Dying,107.0,1987,3825283
RoboCop,102.0,1987,141510322
Innerspace,120.0,1987,69136630
Hamburger Hill,112.0,1987,36951292
Ernest Goes to Camp,92.0,1987,62770192
Empire of the Sun,153.0,1987,59377453
Black Widow,102.0,1987,67298731
Less Than Zero,98.0,1987,33098418
House of Games,102.0,1987,6903671
Babettes gæstebud,102.0,1987,11745191
Square Dance,112.0,1987,601707
Suspect,121.0,1987,50149122
Like Father Like Son,96.0,1987,91788361
Salsa,98.0,1988,22903937
A Night in the Life of Jimmy Reardon,90.0,1988,16133838
The Serpent and the Rainbow,98.0,1988,50469369
My Stepmother is an Alien,108.0,1988,35682650
Satisfaction,92.0,1988,20
Felix The Cat: The Movie,82.0,1988,5059170
Cohen and Tate,86.0,1988,165424
Shoot to Kill,109.0,1988,75465690
Nuovo Cinema Paradiso,124.0,1988,30882726
Running on Empty,116.0,1988,7302183
Rocket Gibraltar,99.0,1988,482539
Off Limits,102.0,1988,18652736
Return of the Living Dead Part II,89.0,1988,23710969
Red Heat,104.0,1988,90132944
Monkey Shines,113.0,1988,13765603
Mujeres al borde de un ataque de nervios,88.0,1988,18491149
976-EVIL,92.0,1988,7613321
Vibes,99.0,1988,4851982
Strul,101.0,1988,15039472
Hairspray,92.0,1988,21303238
Permanent Record,91.0,1988,4876008
Salome's Last Dance,89.0,1988,852530
Two Moon Junction,104.0,1988,3985507
Heart of Midnight,93.0,1988,291045
Braddock: Missing in Action III,101.0,1988,15953140
Big,104.0,1988,390641253
Oliver & Company,74.0,1988,190985751
Alien Nation,91.0,1988,82819208
Big Time,87.0,1988,382289
Moving,89.0,1988,27856312
Pumpkinhead,86.0,1988,11295426
Bulletproof,94.0,1988,2080965
Action Jackson,96.0,1988,52174286
The Moderns,126.0,1988,5180853
Powaqqatsi,99.0,1988,1517669
Illegally Yours,102.0,1988,667134
Midnight Crossing,97.0,1988,3420427
The Naked Gun: From the Files of Police Squad!,85.0,1988,202846049
Earth Girls Are Easy,100.0,1988,10086911
Who Framed Roger Rabbit,104.0,1988,849449943
"No Retreat, No Surrender 2: Raging Thunder",104.0,1988,278563
High Hopes,112.0,1988,3070969
Hero and the Terror,96.0,1988,13653881
Stormy Monday,93.0,1988,4613781
Sunset,102.0,1988,11833566
Sweet Hearts Dance,101.0,1988,9762872
Phantasm II,97.0,1988,18757862
Fright Night Part 2,104.0,1988,7685096
Die Hard,131.0,1988,362564879
Switching Channels,105.0,1988,23515415
They Live,94.0,1988,33506065
Torch Song Trilogy,120.0,1988,12532963
Twins,107.0,1988,557916529
The Rescue,97.0,1988,15081269
Vice Versa,98.0,1988,35193437
Waxwork,95.0,1988,2081395
Without a Clue,107.0,1988,21993692
Funny Farm,101.0,1988,65774198
Short Circuit 2,110.0,1988,55710905
A Fish Called Wanda,108.0,1988,160960106
The Unbearable Lightness of Being,171.0,1988,25773737
License to Drive,90.0,1988,57779610
Night of the Demons,90.0,1988,8009933
Dead Ringers,115.0,1988,20704148
L'Ours,94.0,1988,356056455
Stealing Home,98.0,1988,19233458
School Daze,121.0,1988,37464578
Jack's Back,97.0,1988,1268542
Prison,102.0,1988,913583
Working Girl,114.0,1988,265736163
Not of This Earth,81.0,1988,276498
Maniac Cop,85.0,1988,1729225
Hellbound: Hellraiser II,97.0,1988,31141148
Some Girls,94.0,1988,1033908
Willow,126.0,1988,147505452
Punchline,123.0,1988,54171144
Stand and Deliver,103.0,1988,36045607
1969,95.0,1988,15399665
The Accidental Tourist,121.0,1988,84047898
Above the Law,99.0,1988,48601014
Bloodsport,92.0,1988,30408086
The New Adventures of Pippi Longstocking,100.0,1988,9194809
The Adventures of Baron Munchausen,126.0,1988,20819059
Crocodile Dundee II,110.0,1988,617134745
The Last Temptation of Christ,164.0,1988,21567179
Child's Play,87.0,1988,113833899
Paperhouse,92.0,1988,620
Salaam Bombay!,113.0,1988,5357409
Halloween 4: The Return of Michael Myers,88.0,1988,45765580
Poltergeist III,98.0,1988,36429581
Friday the 13th Part VII: The New Blood,88.0,1988,49374653
A Nightmare on Elm Street 4: The Dream Master,99.0,1988,186732510
Police Academy 5: Assignment Miami Beach,90.0,1988,50251317
The Kiss,101.0,1988,4814216
The Seventh Sign,97.0,1988,48614871
Bull Durham,108.0,1988,131068192
Dangerous Liaisons,119.0,1988,89298628
Rain Man,133.0,1988,1063216278
A Cry in the Dark,120.0,1988,17794441
Rambo III,102.0,1988,486832544
Betrayed,127.0,1988,66492585
Cocoon: The Return,116.0,1988,64454702
The Presidio,97.0,1988,52347164
Cameron's Closet,87.0,1988,350807
Married to the Mob,104.0,1988,55341738
Vampire's Kiss,103.0,1988,1867662
Apartment Zero,124.0,1988,1727659
The Good Mother,104.0,1988,12271818
The In Crowd,95.0,1988,321643
Mac and Me,95.0,1988,15287002
Dirty Rotten Scoundrels,110.0,1988,108276742
"Elvira, Mistress of the Dark",96.0,1988,14413861
Young Guns,107.0,1988,115198875
The Deceivers,102.0,1988,891929
Ernest Saves Christmas,95.0,1988,72637939
Everybody's All-American,127.0,1988,32551453
Feds,90.0,1988,9085852
The Dead Pool,91.0,1988,97624516
For Keeps,98.0,1988,45110847
Frantic,120.0,1988,45428671
The Great Outdoors,91.0,1988,111924195
High Spirits,99.0,1988,19058983
Hot to Trot,88.0,1988,16577239
Heathers,102.0,1988,2854977
The House on Carroll Street,101.0,1988,1184332
アキラ,124.0,1988,1424758
The Lair of the White Worm,93.0,1988,3063224
The Land Before Time,69.0,1988,217539114
Scrooged,101.0,1988,155382053
D.O.A.,96.0,1988,32727069
Crossing Delancey,97.0,1988,41885814
Mississippi Burning,128.0,1988,89126783
Appointment with Death,102.0,1988,2472699
Arthur 2: On the Rocks,113.0,1988,37813183
Beetlejuice,92.0,1988,188861688
Bad Dreams,86.0,1988,25233609
Bat*21,105.0,1988,8201673
Beaches,123.0,1988,146918218
Big Top Pee-wee,86.0,1988,38948538
Biloxi Blues,106.0,1988,133120442
The Blob,95.0,1988,21243573
Tapeheads,93.0,1988,885462
The Boost,95.0,1988,2021836
Casual Sex?,88.0,1988,31621144
Talk Radio,110.0,1988,8933726
Clean and Sober,124.0,1988,22341174
Cocktail,104.0,1988,441731286
Colors,120.0,1988,120065313
Coming to America,116.0,1988,743716440
Midnight Run,126.0,1988,98938883
Critters 2,86.0,1988,9821596
Red Scorpion,105.0,1988,10798135
Mr. North,93.0,1988,3145775
Loverboy,98.0,1989,9800655
Look Who's Talking,93.0,1989,732513750
Sea of Love,113.0,1989,274394486
Scandal,115.0,1989,21777435
Major League,107.0,1989,123233431
Miracle Mile,87.0,1989,2834541
Road House,114.0,1989,74365063
Miss Firecracker,102.0,1989,4584781
Scenes from the Class Struggle in Beverly Hills,95.0,1989,5336637
Next of Kin,108.0,1989,39453358
No Holds Barred,93.0,1989,39827096
Old Gringo,120.0,1989,8845242
The Package,108.0,1989,26348764
Parents,81.0,1989,2154313
Rude Awakening,98.0,1989,7844130
Lock Up,115.0,1989,54690681
Shocker,109.0,1989,40968056
Leviathan,98.0,1989,38864343
Blaze,117.0,1989,47343650
Black Rain,125.0,1989,113569852
Bill & Ted's Excellent Adventure,90.0,1989,100188674
The Big Picture,100.0,1989,290686
"See No Evil, Hear No Evil",103.0,1989,116086074
Always,122.0,1989,183462003
Born on the Fourth of July,145.0,1989,398432289
She's Out of Control,97.0,1989,29859566
Shirley Valentine,108.0,1989,15724083
Breaking In,94.0,1989,4646557
Stepfather II: Make Room For Daddy,93.0,1989,3761052
Tap,111.0,1989,22556231
Three Fugitives,96.0,1989,100448422
Turner & Hooch,100.0,1989,175902078
Speed Zone,94.0,1989,7615571
UHF,97.0,1989,15237169
Uncle Buck,100.0,1989,196141787
Cousins,109.0,1989,54517830
DeepStar Six,105.0,1989,20152109
The Mighty Quinn,98.0,1989,11277776
Tango & Cash,104.0,1989,156917843
Little Monsters,102.0,1989,1964361
Casualties of War,113.0,1989,46206069
Cyborg,86.0,1989,25159023
Last Exit to Brooklyn,102.0,1989,4281258
Kickboxer,97.0,1989,36370804
K-9,101.0,1989,193640126
Johnny Handsome,94.0,1989,17911431
The January Man,97.0,1989,11411034
Jacknife,102.0,1989,5072581
An Innocent Man,113.0,1989,49611978
In Country,120.0,1989,8740670
Harlem Nights,116.0,1989,150622818
Chances Are,108.0,1989,40284766
Happy Together,102.0,1989,247470
Great Balls of Fire!,108.0,1989,34005119
Gleaming the Cube,109.0,1989,6872958
Farewell to the King,117.0,1989,5991064
Family Business,110.0,1989,30180791
The Experts,94.0,1989,418728
Enemies: A Love Story,119.0,1989,19190303
The Dream Team,113.0,1989,71494925
Dead Bang,105.0,1989,20108472
Dad,117.0,1989,48845835
Gross Anatomy,109.0,1989,28717998
The Wizard,100.0,1989,35336116
Blind Fury,86.0,1989,6662007
Renegades,106.0,1989,22309904
Pet Sematary,103.0,1989,142220185
Music Box,124.0,1989,15501285
Night Game,95.0,1989,835986
The Fly II,105.0,1989,96274032
National Lampoon's Christmas Vacation,97.0,1989,176496218
Under the Boardwalk,102.0,1989,365123
"The Karate Kid, Part III",112.0,1989,96405461
Teen Witch,94.0,1989,68903
Police Academy 6: City Under Siege,84.0,1989,28625491
Fletch Lives,95.0,1989,86988383
Physical Evidence,99.0,1989,8812269
Dead Calm,96.0,1989,19364594
Ghostbusters II,108.0,1989,533039214
The Return of Swamp Thing,84.0,1989,477163
Batman,126.0,1989,1017968727
For All Mankind,80.0,1989,1905852
Ghosts Can't Do It,90.0,1989,61867
Do the Right Thing,120.0,1989,92295359
Rooftops,98.0,1989,5058029
Drugstore Cowboy,100.0,1989,11703768
Friday the 13th Part VIII: Jason Takes Manhattan,100.0,1989,34645920
Glory,122.0,1989,66392386
"Sex, Lies, and Videotape",100.0,1989,90924919
My Left Foot: The Story of Christy Brown,103.0,1989,36485596
Dead Poets Society,129.0,1989,583685061
その男、凶暴につき,103.0,1989,4850
"I, Madman",89.0,1989,374183
Du shen,126.0,1989,11785396
Indiana Jones and the Last Crusade,127.0,1989,1173437054
The Abyss,139.0,1989,222724018
When Harry Met Sally...,96.0,1989,229711229
Crimes and Misdemeanors,104.0,1989,45175068
Star Trek V: The Final Frontier,107.0,1989,173724544
Licence to Kill,133.0,1989,386467857
The Blood of Heroes,100.0,1989,2183410
Weekend at Bernie's,97.0,1989,74781702
Field of Dreams,107.0,1989,208943670
Say Anything...,100.0,1989,49585085
Henry V,137.0,1989,25145759
Driving Miss Daisy,99.0,1989,360795926
魔女の宅急便,103.0,1989,44972506
Communion,103.0,1989,4750581
All Dogs Go to Heaven,89.0,1989,67064670
Parenthood,124.0,1989,312550328
"Honey, I Shrunk the Kids",93.0,1989,551177427
Lost Angels,116.0,1989,3088302
House III: The Horror Show,95.0,1989,4303263
Steel Magnolias,119.0,1989,237334680
Valmont,137.0,1989,2801647
Back to the Future Part II,108.0,1989,821603261
Roger & Me,91.0,1989,16596306
The 'Burbs,101.0,1989,90579284
Lethal Weapon 2,114.0,1989,563872222
The Terror Within,90.0,1989,2124762
A Nightmare on Elm Street 5: The Dream Child,89.0,1989,54860229
The Little Mermaid,83.0,1989,550127725
Halloween 5: The Revenge of Michael Myers,96.0,1989,28811186
Cheetah,83.0,1989,20177974
Marked for Death,94.0,1990,108699543
Night of the Living Dead,88.0,1990,13775587
Reversal of Fortune,111.0,1990,36462168
Presumed Innocent,127.0,1990,522442587
Mr. Destiny,110.0,1990,36306646
Dick Tracy,103.0,1990,244901706
Men Don't Leave,115.0,1990,14331493
Die Hard 2,124.0,1990,566654583
Death Warrant,93.0,1990,39786952
Kindergarten Cop,111.0,1990,476772602
The Godfather: Part III,162.0,1990,322871152
Back to the Future Part III,118.0,1990,577269691
Pump up the Volume,105.0,1990,27247261
Darkman,96.0,1990,115390163
Arachnophobia,103.0,1990,125611472
Gremlins 2: The New Batch,106.0,1990,97929323
Nikita,115.0,1990,11803774
The Exorcist III,110.0,1990,92126692
Miller's Crossing,115.0,1990,11993600
Child's Play 2,84.0,1990,84429106
Mermaids,110.0,1990,83616515
Daddy's Dyin'... Who's Got the Will?,95.0,1990,3243035
Wild at Heart,124.0,1990,34373174
Lord of the Flies,90.0,1990,33015688
Tales from the Darkside: The Movie,93.0,1990,38538315
Cry-Baby,85.0,1990,19514809
阿飛正傳,91.0,1990,334906
Narrow Margin,97.0,1990,25669047
Downtown,96.0,1990,5538685
Lionheart,105.0,1990,56842719
White Palace,103.0,1990,41283774
Havana,144.0,1990,21820788
Internal Affairs,114.0,1990,65474099
Frankenhooker,85.0,1990,484115
The Sheltering Sky,138.0,1990,4898764
Hard to Kill,96.0,1990,111923390
Ghost Dad,84.0,1990,58328665
Nightbreed,102.0,1990,20921845
Edward Scissorhands,105.0,1990,125120010
Desperate Hours,105.0,1990,6475342
Almost an Angel,95.0,1990,16383511
The Neverending Story II: The Next Chapter,89.0,1990,38441746
Revenge,123.0,1990,36935464
Postcards from the Edge,101.0,1990,92238478
The Witches,91.0,1990,36262500
The Rescuers Down Under,77.0,1990,111974054
The Comfort of Strangers,107.0,1990,2937678
The Adventures of Ford Fairlane,104.0,1990,48214615
Leatherface: Texas Chainsaw Massacre III,81.0,1990,13611078
King of New York,103.0,1990,6030491
Love at Large,97.0,1990,3390771
Graveyard Shift,89.0,1990,27344366
Delta Force 2: The Colombian Connection,111.0,1990,15813188
Rocky V,104.0,1990,283163953
The Hunt for Red October,134.0,1990,470262377
Frankenstein Unbound,82.0,1990,790257
Heart Condition,100.0,1990,9679095
Quick Change,89.0,1990,36025483
Henry & June,136.0,1990,27307911
Alice,102.0,1990,17308221
GoodFellas,145.0,1990,110569246
Teenage Mutant Ninja Turtles,93.0,1990,476872491
Mo' Better Blues,129.0,1990,38134673
Home Alone,103.0,1990,1125335685
Hidden Agenda,108.0,1990,2433791
The Field,110.0,1990,3527909
Ghost,127.0,1990,1192181228
Dances with Wolves,181.0,1990,1001453119
A Cry in the Wild,82.0,1990,2
Another 48 Hrs.,95.0,1990,362420671
Pretty Woman,119.0,1990,1093029522
A Man Called Sarge,88.0,1990,218856
Sibling Rivalry,87.0,1990,42151113
The Fourth War,91.0,1990,3082879
Stella,109.0,1990,47781981
Lambada,104.0,1990,10064162
Without You I'm Nothing,90.0,1990,2877122
Pacific Heights,102.0,1990,69363596
Jacob's Ladder,113.0,1990,61297341
